"","x"
"1",55.9406272585349
"2",30.5378222064951
"3",58.55381489841
"4",50.4907129387146
"5",29.1904820134937
"6",36.1390322826984
"7",38.3270678787265
"8",51.1623545996836
"9",58.8254108489451
"10",51.6989230820036
"11",36.8083130791835
"12",34.6681140833023
"13",25.7738782076372
"14",23.8494374683992
"15",51.1121389476799
"16",45.0610019711768
"17",38.5975043234415
"18",52.5921175550783
"19",56.4584754613816
"20",22.6806657602263
"21",42.7793765094515
"22",52.3728354469325
"23",54.3210688559629
"24",41.6766485175787
"25",46.3142910326763
"26",58.8584066070931
"27",37.3808618680422
"28",53.0984990251531
"29",30.5232083027922
"30",46.5480727895888
"31",27.8591129976616
"32",51.3701123693172
"33",30.4311297449009
"34",43.4985002552522
"35",41.9013802624428
"36",46.1628414792906
"37",29.8963199821882
"38",34.4370018796856
"39",51.4559888560526
"40",32.0642507257713
"41",60.5376099659243
"42",51.1462160192804
"43",39.3018013858916
"44",25.7318788559531
"45",46.8290934638443
"46",73.0996805931125
"47",32.5109089129433
"48",38.5290340858621
"49",47.5999148110717
"50",46.3749066951045
"51",26.0822265971196
"52",42.1042745033558
"53",27.7846456963452
"54",32.4241969938781
"55",30.639807218347
"56",36.359800637043
"57",44.2850258236002
"58",30.37184579866
"59",32.0176157037922
"60",40.0154218729401
"61",36.9633855340454
"62",27.4360842391636
"63",36.054783376501
"64",36.3775180092375
"65",36.7258535872216
"66",54.2213494572571
"67",27.6746592332324
"68",29.5813421069621
"69",43.3973428616823
"70",37.1893872803934
"71",53.1860965907782
"72",33.5875141085651
"73",35.7947792451212
"74",46.2135718542331
"75",31.1048708042192
"76",38.8105746526253
"77",39.8992709650213
"78",37.569249139714
"79",46.474040883276
"80",37.6485655425554
"81",40.5951596169694
"82",41.0041138031681
"83",38.0992575202261
"84",36.1226923820605
"85",49.7512331563035
"86",50.8017429572045
"87",38.005334720759
"88",40.3735406196132
"89",56.5630349652104
"90",26.1869814665059
"91",32.5805592167166
"92",42.7388899101513
"93",46.1171640109514
"94",38.9198407041859
"95",33.3958910863302
"96",41.1436458829795
"97",31.3049576874684
"98",37.3897478707868
"99",54.9484156262209
"100",40.7623218780417
"101",26.1524787932684
"102",51.5634129135438
"103",30.7788260982079
"104",31.0487924697177
"105",44.6530701676623
"106",49.6384935504837
"107",49.9809469991498
"108",44.7576189395251
"109",18.8429441891592
"110",34.7447254319182
"111",52.092406809595
"112",30.9785998077495
"113",42.5877353942993
"114",37.3372354419738
"115",45.4357305819591
"116",46.9304697158218
"117",38.9138991877743
"118",63.0907312574025
"119",38.5704753890718
"120",33.4640842310697
"121",40.3062457465006
"122",47.3999098710254
"123",48.5835640004948
"124",43.9295839897915
"125",37.9623872185881
"126",53.6247928765899
"127",32.457974734868
"128",43.1631497180123
"129",29.1560049679851
"130",40.0446595192953
"131",46.1974865808485
"132",43.9198673776773
"133",31.571378504932
"134",60.8992878978703
"135",36.1003103260331
"136",58.4788535790491
"137",38.0119460565448
"138",32.0724445421583
"139",42.8606535673408
"140",43.2515874478719
"141",45.7963195826366
"142",45.9511143747751
"143",60.2064817182083
"144",56.106364678505
"145",31.8144401676841
"146",43.5551670536547
"147",61.0898284315519
"148",39.841981157363
"149",33.4860047407766
"150",28.5668213201512
"151",35.5226725946152
"152",39.8738186810317
"153",39.6903715134769
"154",39.9604756505397
"155",37.2630662327109
"156",22.01961967308
"157",33.1293638355109
"158",47.1927223054852
"159",42.065561923918
"160",34.3802547890055
"161",36.4772696908185
"162",37.9719739417101
"163",41.9994847293514
"164",48.2483671809553
"165",33.4507951206839
"166",34.0515168667327
"167",46.275924395354
"168",30.6365766230508
"169",44.2365006748449
"170",27.632805619422
"171",27.0859364448489
"172",38.8281572851822
"173",47.8207717643997
"174",35.6104894235438
"175",36.609018496077
"176",26.4409007924997
"177",37.6929086043434
"178",60.4720300061107
"179",35.2376125081522
"180",37.8918825622009
"181",39.4654416030766
"182",37.4731309116016
"183",54.5125623155946
"184",25.2663564748331
"185",26.2578662555657
"186",40.1023859535038
"187",43.7816858319653
"188",34.7839899251508
"189",24.8501845830374
"190",39.949848057244
"191",57.5489869492416
"192",36.0169005166522
"193",39.0757894745987
"194",34.6872501421033
"195",45.9951062549414
"196",54.5273703769045
"197",36.2648617563391
"198",38.4005916234498
"199",32.7138333561474
"200",29.5607553831128
"201",32.3965746922568
"202",36.8929426605273
"203",29.8480649216094
"204",35.5929561206173
"205",48.7705879962865
"206",44.2156361693284
"207",53.3442411639237
"208",31.1988487302963
"209",37.4483909572299
"210",39.7043237568967
"211",43.3230437920599
"212",25.1387853588514
"213",48.0865592861569
"214",39.4782274911336
"215",42.8094102503506
"216",36.8938312262233
"217",42.5965026529908
"218",35.1057695183963
"219",40.1236333717209
"220",38.9012654883396
"221",38.6357365763833
"222",52.5132631440953
"223",43.5163862999666
"224",54.3434292158706
"225",38.6691974206095
"226",34.2435156932736
"227",41.2956949529551
"228",49.961693326276
"229",41.1808306062762
"230",30.9838903899852
"231",41.7396333543121
"232",50.291926196238
"233",42.6002495295643
"234",29.0528578339502
"235",19.9420660342074
"236",44.8395014585482
"237",48.3275176235119
"238",39.6160939807489
"239",42.2972526168976
"240",34.5907730064696
"241",54.8379514008877
"242",41.3323507860368
"243",34.6180802535282
"244",39.0982878342224
"245",41.6717449503053
"246",46.9860974747415
"247",36.4489532808282
"248",58.9698066069201
"249",54.437849734921
"250",40.4447921689301
"251",30.4103882106901
"252",26.3261701244754
"253",49.4655611503178
"254",52.1583480582472
"255",51.1328014939599
"256",33.325015471971
"257",32.3954237809218
"258",54.9803149826867
"259",32.6409240280724
"260",44.8774703691823
"261",51.3828991658117
"262",33.8190667929064
"263",48.2706979206194
"264",47.7860456758054
"265",44.4562514791804
"266",41.5627728690385
"267",39.9475268251027
"268",51.7834422252932
"269",44.3305647694347
"270",40.9234309774247
"271",42.3620578953321
"272",55.4905058746198
"273",32.8450674500686
"274",43.1457322329473
"275",35.704515883719
"276",36.7025922410983
"277",35.7051594483591
"278",35.8675080092407
"279",51.7990518251045
"280",43.8838655843325
"281",38.2522694697083
"282",33.7147475948549
"283",40.419055566067
"284",35.5714549655779
"285",37.2472389812419
"286",50.9467674237896
"287",26.6516356801796
"288",38.1766842084252
"289",45.3954947760664
"290",27.4740944264115
"291",45.7114103527924
"292",31.7381595491763
"293",30.8292758400145
"294",35.1036148242734
"295",30.6500195320381
"296",37.418296200005
"297",63.6617532143066
"298",47.917847351642
"299",62.7966199915973
"300",33.0064416734845
"301",55.8860236275629
"302",37.6736098666974
"303",31.8399138215129
"304",42.1606152673341
"305",35.4307985577511
"306",34.7808447408791
"307",37.8148774026904
"308",31.7687652862324
"309",41.8244898375261
"310",51.0522641942764
"311",30.2726145174032
"312",41.3624173277297
"313",38.5287233673544
"314",45.6676795047007
"315",42.6765289144636
"316",54.5586669078536
"317",38.1800745430173
"318",61.8386981438056
"319",31.3827140384844
"320",46.9094196300092
"321",39.6555005618927
"322",34.8634221526777
"323",29.026426317002
"324",32.9902370355064
"325",32.1974010280376
"326",42.9326515599041
